jour,mot,bot_v1,bot_v2,bot_v3,bot_v4
1,AVORTAI,8,4,3,3
2,PELTAS,11,4,2,2
3,GLOBALES,7,3,4,5
4,VALSEURS,5,3,3,2
5,TRICHERIE,4,3,2,3
6,TANDEM,8,4,4,4
7,BAGAGES,3,3,4,4
8,ENVAHIR,4,4,5,4
9,HABITUE,5,2,2,2
10,RINGARDE,8,4,4,2
11,CAHIER,9,3,5,3
12,APPOINT,4,4,4,4
13,ROUGEAUD,7,3,3,3
14,DIFFUSER,9,3,3,3
15,COLLIER,7,3,5,3
16,PETUNIA,5,3,3,3
17,LUCIOLE,6,4,4,3
18,REMPART,11,4,3,4
19,RAMOLLI,5,4,3,3
20,ABDOMEN,4,3,3,4
21,SUPPLICE,6,3,3,3
22,AIRBAG,9,2,3,3
23,GRENIER,3,3,3,3
24,FATIGUE,7,4,3,2
25,RACLETTE,5,4,3,2
26,BOURRIN,8,4,3,3
27,TOUBIB,4,3,3,3
28,GADGET,3,3,4,3
29,PREJUGE,5,3,3,4
30,SAPRISTI,5,3,4,3
31,PARAPLUIE,4,2,3,2
32,RELIEF,10,3,4,4
33,MENTAL,4,3,4,3
34,TAMBOUR,4,2,3,3
35,PREFET,7,5,3,4
36,FACILE,4,2,3,2
37,COGITER,5,4,3,3
38,ENORME,5,4,4,3
39,FAUBOURG,4,3,3,2
40,REPTILE,6,5,3,3
41,DOPAGE,7,3,3,4
42,MITONNER,7,4,2,3
43,CLICHE,6,4,3,3
44,TABOURET,3,3,3,2
45,ADULTE,4,3,4,4
46,SACOCHE,6,4,4,3
47,FRANGLAIS,6,3,3,3
48,MYSTERE,4,3,2,2
49,EXAMEN,9,5,5,3
50,GENCIVE,6,3,3,4
51,BRILLANT,6,5,4,3
52,LEGUME,6,4,3,3
53,ADVERBE,5,3,3,4
54,CYLINDRE,6,3,3,3
55,TUNNEL,9,3,3,4
56,MINUSCULE,4,3,3,3
57,PILULE,6,3,3,3
58,SOIGNANTE,3,3,4,2
59,BANALITE,7,3,3,3
60,EUREKA,8,5,4,3
61,COHABITER,5,2,3,3
62,GIRAFE,4,2,4,2
63,AFFILEE,5,4,4,3
64,LABORIEUX,2,2,3,2
65,BICLOU,3,2,3,3
66,DEGOUTE,5,3,3,3
67,PROTEINE,7,5,2,2
68,CAFETERIA,5,4,3,3
69,MUSEUM,4,4,4,4
70,LONGTEMPS,4,3,4,2
71,RIGOLOTE,9,4,4,3
72,ARNAQUE,6,4,4,3
73,DIRECT,6,2,3,4
74,PENALTY,9,3,3,4
75,COURSIER,5,3,4,2
76,TRAVERS,14,5,4,6
77,SUSPENSE,6,4,4,3
78,FAMEUX,5,4,4,3
79,ACTRICE,4,4,4,4
80,GORGEE,3,3,4,2
81,DANSEUSE,5,3,3,3
82,PARFAIT,6,4,3,4
83,MIOCHE,8,3,4,4
84,CABARET,3,3,3,3
85,SOMNOLER,6,3,3,3
86,EXPERT,6,4,3,3
87,FAVORITE,4,3,3,3
88,BIGOUDI,3,3,3,3
89,MULTIVERS,5,4,3,2
90,PIETON,11,4,2,3
91,COCKTAIL,9,3,3,3
92,ANTIVOL,3,4,3,4
93,SENATRICE,8,3,3,3
